P002001 : P2. Unweighted Sample Count of the Population [1] : Total population
1.000000 km,3.000000 km,5.000000 km,total
89551,1354692,2360026,44046662

P001001 : P1. Total Population [1] : Total population
1.000000 km,3.000000 km,5.000000 km,total
650467,10169445,17929727,285230516

P003001 : P3. 100-Percent Count of the Population [1] : Total population
1.000000 km,3.000000 km,5.000000 km,total
650338,10169682,17928396,285230516

ALAND10 : 2010 Census land area (square meters)
1.000000 km,3.000000 km,5.000000 km,total
283975330,7515415680,15969385823,9158021763139
