Variable,1.000000 km,3.000000 km,5.000000 km,total,Beyond
P088007 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.50 to 1.74,32596,508968,822806,12093076,10728706
P088006 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.25 to 1.49,37874,541799,880369,12412783,10952741
P088005 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.00 to 1.24,37239,536606,850631,11610252,10185776
P088004 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  75 to .99,34244,493241,792298,10438181,9118398
P088003 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  50 to .74,33119,434007,699400,8955727,7789201
P088002 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  Under .50,59342,825227,1371183,16324591,14068839
P088001 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total: Population for whom poverty status is determined,601536,9882621,17432929,277652014,249734928
P088009 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.85 to 1.99,18785,277122,450624,6997902,6251371
P088008 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.75 to 1.84,13940,210171,343106,5187973,4620756
P088010 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  2.00 and over,334397,6055480,11222512,193631529,176019140
