Variable,3.000000 km,total,Beyond
P088007 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.50 to 1.74,567493.9236561242,12093076,11525582.076343875
P088006 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.25 to 1.49,606485.637334777,12412783,11806297.362665223
P088005 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.00 to 1.24,599008.7165830263,11610252,11011243.283416973
P088004 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  75 to .99,550291.4099175441,10438181,9887889.590082455
P088003 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  50 to .74,485913.80018430477,8955727,8469813.199815696
P088002 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  Under .50,921421.173725167,16324591,15403169.826274833
P088001 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total: Population for whom poverty status is determined,11156966.059423883,277652014,266495047.9405761
P088009 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.85 to 1.99,311274.5227113044,6997902,6686627.477288696
P088008 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.75 to 1.84,235557.53690461742,5187973,4952415.463095383
P088010 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  2.00 and over,6879519.338407014,193631529,186752009.661593
