Variable,3.000000 km,total,Beyond
P088007 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.50 to 1.74,193667,12093076,11899409
P088006 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.25 to 1.49,207242,12412783,12205541
P088005 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.00 to 1.24,208079,11610252,11402173
P088004 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  75 to .99,195100,10438181,10243081
P088003 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  50 to .74,174061,8955727,8781666
P088002 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  Under .50,341287,16324591,15983304
P088001 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total: Population for whom poverty status is determined,3561874,277652014,274090140
P088009 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.85 to 1.99,101963,6997902,6895939
P088008 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.75 to 1.84,76106,5187973,5111867
P088010 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  2.00 and over,2064369,193631529,191567160
