"P054002 : P54. Aggregate Household Income in 1999 (Dollars) [3] : Aggregate household income in 1999:  Less than $200,000"
3.000000 km,total
172110367300,5100323792900

"P054003 : P54. Aggregate Household Income in 1999 (Dollars) [3] : Aggregate household income in 1999:  $200,000 or more"
3.000000 km,total
22807979400,908571629000

P054001 : P54. Aggregate Household Income in 1999 (Dollars) [3] : Aggregate household income in 1999: Households
3.000000 km,total
194918347100,6008895422100

