Variable,3.000000 km,total,Beyond
P088007 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.50 to 1.74,20472,12093076,12072604
P088006 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.25 to 1.49,21983,12412783,12390800
P088005 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.00 to 1.24,20716,11610252,11589536
P088004 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  75 to .99,17442,10438181,10420739
P088003 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  50 to .74,16445,8955727,8939282
P088002 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  Under .50,29765,16324591,16294826
P088001 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total: Population for whom poverty status is determined,399705,277652014,277252309
P088009 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.85 to 1.99,10995,6997902,6986907
P088008 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.75 to 1.84,8726,5187973,5179247
P088010 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  2.00 and over,253161,193631529,193378368
