P006003 : P6. Race [8] : Total:  Black or African American alone
3.000000 km,total
11125,34661413

P006004 : P6. Race [8] : Total:  American Indian and Alaska Native alone
3.000000 km,total
5853,2458321

P006002 : P6. Race [8] : Total:  White alone
3.000000 km,total
343553,214421834

P006007 : P6. Race [8] : Total:  Some other race alone
3.000000 km,total
30943,15695722

P006005 : P6. Race [8] : Total:  Asian alone
3.000000 km,total
11512,10180517

P005001 : P5. Urban and Rural [7] : Total population
3.000000 km,total
417466,285230516

P005002 : P5. Urban and Rural [7] : Total:  Urban:
3.000000 km,total
417138,225953257

P005003 : P5. Urban and Rural [7] : Total:  Urban:  Inside urbanized areas
3.000000 km,total
409584,195814547

P005004 : P5. Urban and Rural [7] : Total:  Urban:  Inside urban clusters
3.000000 km,total
7554,30138710

P005005 : P5. Urban and Rural [7] : Total:  Rural:
3.000000 km,total
328,59277259

P005006 : P5. Urban and Rural [7] : Total:  Rural:  Farm
3.000000 km,total
0,2993055

P005007 : P5. Urban and Rural [7] : Total:  Rural:  Nonfarm
3.000000 km,total
328,56284204

P006006 : P6. Race [8] : Total:  Native Hawaiian and Other Pacific Islander alone
3.000000 km,total
1908,379208

P006001 : P6. Race [8] : Total population
3.000000 km,total
417466,285230516

P006008 : P6. Race [8] : Total:  Two or more races
3.000000 km,total
12572,7433501

