Variable,3.000000 km,total,Beyond
P007008 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Some other race alone,788.0,447921,447133.0
P007009 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Two or more races,5883.0,5015633,5009750.0
P007002 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:,317963.0,246233426,245915463.0
P007003 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  White alone,203576.0,194552547,194348971.0
P007017 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Two or more races,852.0,2417868,2417016.0
P007001 : P7. Hispanic or Latino by Race [17] : Total population,331220.0,285230516,284899296.0
P007006 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Asian alone,4225.0,10070664,10066439.0
P007007 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Native Hawaiian and Other Pacific Islander alone,76.0,342801,342725.0
P007004 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Black or African American alone,102682.0,33712156,33609474.0
P007005 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  American Indian and Alaska Native alone,733.0,2091704,2090971.0
P007015 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Native Hawaiian and Other Pacific Islander alone,16.0,36407,36391.0
P007013 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  American Indian and Alaska Native alone,76.0,366617,366541.0
P007014 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Asian alone,111.0,109853,109742.0
P007010 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:,13257.0,38997090,38983833.0
P007011 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  White alone,5404.0,19869287,19863883.0
P007012 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Black or African American alone,729.0,949257,948528.0
P007016 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Some other race alone,6069.0,15247801,15241732.0
