Variable,3.000000 km,total,Beyond
P007008 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Some other race alone,221.0,447921,447700.0
P007009 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Two or more races,1745.0,5015633,5013888.0
P007002 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:,103593.0,246233426,246129833.0
P007003 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  White alone,47834.0,194552547,194504713.0
P007017 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Two or more races,491.0,2417868,2417377.0
P007001 : P7. Hispanic or Latino by Race [17] : Total population,111100.0,285230516,285119416.0
P007006 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Asian alone,2224.0,10070664,10068440.0
P007007 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Native Hawaiian and Other Pacific Islander alone,27.0,342801,342774.0
P007004 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Black or African American alone,51151.0,33712156,33661005.0
P007005 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  American Indian and Alaska Native alone,391.0,2091704,2091313.0
P007015 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Native Hawaiian and Other Pacific Islander alone,70.0,36407,36337.0
P007013 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  American Indian and Alaska Native alone,0.0,366617,366617.0
P007014 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Asian alone,31.0,109853,109822.0
P007010 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:,7507.0,38997090,38989583.0
P007011 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  White alone,2853.0,19869287,19866434.0
P007012 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Black or African American alone,196.0,949257,949061.0
P007016 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Some other race alone,3866.0,15247801,15243935.0
