Variable,1.000000 km,3.000000 km,5.000000 km,total,Beyond
B15001_051E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!18 to 24 years:!!Graduate or professional degree,465,4737,7350,120202,107650
B15001_012E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Male:!!25 to 34 years:!!Less than 9th grade,2661,50800,85563,1054311,915287
B15001_082E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!65 years and over:!!Bachelor's degree,2048,35585,84814,2124310,2001863
B15001_041E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Male:!!65 years and over:!!Bachelor's degree,1884,34255,84406,2285360,2164815
B15001_053E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!25 to 34 years:!!Less than 9th grade,2068,37847,65363,758465,653187
"B15001_014E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Male:!!25 to 34 years:!!High school graduate, GED, or alternative",9121,167376,306032,5817994,5335465
"B15001_006E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Male:!!18 to 24 years:!!High school graduate, GED, or alternative",8914,153359,265657,5256962,4829032
"B15001_063E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!35 to 44 years:!!High school graduate, GED, or alternative",7383,134654,256042,5330954,4932875
"B15001_080E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!65 years and over:!!Some college, no degree",2959,67907,147172,3828621,3610583
B15001_069E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!45 to 64 years:!!Less than 9th grade,6718,101002,165078,2033492,1760694
B15001_016E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Male:!!25 to 34 years:!!Associate's degree,2265,38318,70185,1482143,1371375
B15001_004E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Male:!!18 to 24 years:!!Less than 9th grade,1091,21631,36480,494636,435434
B15001_020E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Male:!!35 to 44 years:!!Less than 9th grade,3340,58443,92768,1144184,989633
B15001_076E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!65 years and over:,26557,468690,953478,22478338,21029613
"B15001_047E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!18 to 24 years:!!High school graduate, GED, or alternative",8207,128703,225823,4277476,3914743
"B15001_055E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!25 to 34 years:!!High school graduate, GED, or alternative",8328,134826,241803,4493277,4108320
B15001_034E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Male:!!45 to 64 years:!!Graduate or professional degree,3133,77293,184696,4710320,4445198
"B15001_022E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Male:!!35 to 44 years:!!High school graduate, GED, or alternative",9449,158019,288853,6205373,5749052
"B15001_056E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!25 to 34 years:!!Some college, no degree",6879,122319,232852,4633429,4271379
B15001_045E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!18 to 24 years:!!Less than 9th grade,782,13236,22614,293564,256932
B15001_057E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!25 to 34 years:!!Associate's degree,2562,44670,88471,1867437,1731734
B15001_010E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Male:!!18 to 24 years:!!Graduate or professional degree,173,3164,5388,73749,65024
B15001_002E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Male:,167349,2825214,5345301,112827411,104489547
"B15001_062E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!35 to 44 years:!!9th to 12th grade, no diploma",2993,55487,102261,1460667,1299926
B15001_043E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:,172506,2942398,5733082,119919812,111071826
"B15001_072E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!45 to 64 years:!!Some college, no degree",8613,180551,367115,8937430,8381151
B15001_018E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Male:!!25 to 34 years:!!Graduate or professional degree,3568,50371,98436,1505154,1352779
B15001_024E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Male:!!35 to 44 years:!!Associate's degree,1911,32028,65923,1600067,1500205
B15001_066E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!35 to 44 years:!!Bachelor's degree,4623,85378,187921,4536783,4258861
"B15001_030E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Male:!!45 to 64 years:!!High school graduate, GED, or alternative",14373,241407,453122,11212852,10503950
B15001_008E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Male:!!18 to 24 years:!!Associate's degree,620,18313,31108,634187,584146
"B15001_029E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Male:!!45 to 64 years:!!9th to 12th grade, no diploma",5567,89552,162152,3094107,2836836
B15001_036E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Male:!!65 years and over:!!Less than 9th grade,4258,58448,102372,2068394,1903316
B15001_073E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!45 to 64 years:!!Associate's degree,3500,69529,142567,3712953,3497357
B15001_028E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Male:!!45 to 64 years:!!Less than 9th grade,6353,95473,153834,2149913,1894253
B15001_058E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!25 to 34 years:!!Bachelor's degree,8371,133300,269480,4884606,4473455
"B15001_071E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!45 to 64 years:!!High school graduate, GED, or alternative",14179,246153,490720,12020426,11269374
B15001_067E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!35 to 44 years:!!Graduate or professional degree,2496,44922,107902,2394341,2239021
B15001_065E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!35 to 44 years:!!Associate's degree,2335,43803,86015,2173599,2041446
"B15001_064E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!35 to 44 years:!!Some college, no degree",5980,102323,202631,4642369,4331435
B15001_049E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!18 to 24 years:!!Associate's degree,1296,20121,39456,785357,724484
"B15001_048E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!18 to 24 years:!!Some college, no degree",16887,204696,344264,6086573,5520726
"B15001_079E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!65 years and over:!!High school graduate, GED, or alternative",8830,166310,328359,8502025,7998526
B15001_042E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Male:!!65 years and over:!!Graduate or professional degree,1363,30944,76168,2059049,1950574
B15001_001E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Total:,339855,5767612,11078383,232747223,215561373
"B15001_013E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Male:!!25 to 34 years:!!9th to 12th grade, no diploma",4006,74418,132244,2050198,1839530
B15001_083E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!65 years and over:!!Graduate or professional degree,1126,23137,57431,1358853,1277159
B15001_052E : B15001.  SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER : Female:!!25 to 34 years:,36248,596752,1134825,20281766,18513941
