B15002_023E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!7th and 8th grade
1.000000 km,3.000000 km,5.000000 km,total
4861,76314,134015,2501796

B15002_020E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!No schooling completed
1.000000 km,3.000000 km,5.000000 km,total
4440,56271,93890,1208703

B15002_018E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Doctorate degree
1.000000 km,3.000000 km,5.000000 km,total
1326,29507,66859,1491134

B15002_004E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Nursery to 4th grade
1.000000 km,3.000000 km,5.000000 km,total
2617,44994,70174,957513

B15002_016E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Master's degree
1.000000 km,3.000000 km,5.000000 km,total
6651,132713,292483,6622227

B15002_026E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!11th grade
1.000000 km,3.000000 km,5.000000 km,total
4308,77854,146485,2580828

B15002_024E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!9th grade
1.000000 km,3.000000 km,5.000000 km,total
4528,65708,120111,1950147

B15002_022E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!5th and 6th grade
1.000000 km,3.000000 km,5.000000 km,total
6373,100814,167678,1880572

B15002_033E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Master's degree
1.000000 km,3.000000 km,5.000000 km,total
7658,152932,349920,7830977

B15002_032E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Bachelor's degree
1.000000 km,3.000000 km,5.000000 km,total
19803,372931,818757,18399446

B15002_015E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Bachelor's degree
1.000000 km,3.000000 km,5.000000 km,total
19173,356218,753267,17132648

B15002_007E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!9th grade
1.000000 km,3.000000 km,5.000000 km,total
4136,69592,120022,2027292

"B15002_013E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Some college, 1 or more years, no degree"
1.000000 km,3.000000 km,5.000000 km,total
16346,304950,600009,13745915

