B03002_008E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Some other race alone
1.000000 km,3.000000 km,5.000000 km,total
1458,21024,42336,688071

B03002_006E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Asian alone
1.000000 km,3.000000 km,5.000000 km,total
38535,558053,1177509,14024878

B03002_016E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Asian alone
1.000000 km,3.000000 km,5.000000 km,total
514,6109,11752,173029

B03002_004E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Black or African American alone
1.000000 km,3.000000 km,5.000000 km,total
68190,1335822,2705926,37126836

"B03002_021E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
1.000000 km,3.000000 km,5.000000 km,total
1963,27955,52195,1121553

B03002_018E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Some other race alone
1.000000 km,3.000000 km,5.000000 km,total
57173,960974,1655578,16311732

B03002_010E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race
1.000000 km,3.000000 km,5.000000 km,total
215,7103,14573,248817

B03002_002E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:
1.000000 km,3.000000 km,5.000000 km,total
291914,5280027,10590517,256283191

B03002_012E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:
1.000000 km,3.000000 km,5.000000 km,total
148963,2389470,4106733,51444403

B03002_014E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Black or African American alone
1.000000 km,3.000000 km,5.000000 km,total
2645,31761,76251,1126759

B03003_002E : B03003.  Hispanic or Latino Origin : Not Hispanic or Latino
1.000000 km,3.000000 km,5.000000 km,total
291914,5280027,10590517,256283191

B03002_009E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:
1.000000 km,3.000000 km,5.000000 km,total
7577,122474,250632,5329267

B03002_015E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!American Indian and Alaska Native alone
1.000000 km,3.000000 km,5.000000 km,total
850,17547,27680,439048

B03002_005E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!American Indian and Alaska Native alone
1.000000 km,3.000000 km,5.000000 km,total
2315,31634,59257,2048832

B03002_017E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone
1.000000 km,3.000000 km,5.000000 km,total
35,1581,1742,32970

B03002_020E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races including Some other race
1.000000 km,3.000000 km,5.000000 km,total
2196,40638,80469,1188607

B03002_019E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:
1.000000 km,3.000000 km,5.000000 km,total
4159,68593,132664,2310160

B03002_003E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!White alone
1.000000 km,3.000000 km,5.000000 km,total
172116,3196188,6325940,196606503

"B03002_011E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
1.000000 km,3.000000 km,5.000000 km,total
7362,115371,236059,5080450

B03002_001E : B03002.  Hispanic or Latino by Race : Total:
1.000000 km,3.000000 km,5.000000 km,total
440877,7669497,14697250,307727594

B03002_013E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!White alone
1.000000 km,3.000000 km,5.000000 km,total
83587,1302905,2201066,31050705

B03002_007E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone
1.000000 km,3.000000 km,5.000000 km,total
1723,14832,28917,458804

B03003_003E : B03003.  Hispanic or Latino Origin : Hispanic or Latino
1.000000 km,3.000000 km,5.000000 km,total
148963,2389470,4106733,51444403

B03003_001E : B03003.  Hispanic or Latino Origin : Total:
1.000000 km,3.000000 km,5.000000 km,total
440877,7669497,14697250,307727594

