Variable,1.000000 km,3.000000 km,5.000000 km,total,Beyond
B02001_001E : B02001.  Race : Total:,440877,7669497,14697250,307727594,284919970
"B02001_010E : B02001.  Race : Two or more races:!!Two races excluding Some other race, and three or more races",9325,143326,288254,6202003,5761098
B02006_001E : B02006.  Asian Alone By Selected Groups : Total:,39049,564162,1189261,14197907,12405435
B02012_001E : B02012.  Native Hawaiian And Other Pacific Islander Alone Or In Combination With One Or More Other Races : Total:,2419,25084,50728,973746,895515
B02001_007E : B02001.  Race : Some other race alone,58631,981998,1697914,16999803,14261260
B01003_001E : B01003.  Total Population : Total,440877,7669497,14697250,307727594,284919970
B02001_009E : B02001.  Race : Two or more races:!!Two races including Some other race,2411,47741,95042,1437424,1292230
B02001_008E : B02001.  Race : Two or more races:,11736,191067,383296,7639427,7053328
B02010_001E : B02010.  American Indian And Alaska Native Alone Or In Combination With One Or More Other Races : Total:,6474,101888,189775,4800428,4502291
B02001_005E : B02001.  Race : Asian alone,39049,564162,1189261,14197907,12405435
B02001_004E : B02001.  Race : American Indian and Alaska Native alone,3165,49181,86937,2487880,2348597
B02005_001E : B02005.  AMERICAN INDIAN AND ALASKA NATIVE ALONE FOR SELECTED TRIBAL GROUPINGS : Total:,3165,49181,86937,2487880,2348597
B02001_006E : B02001.  Race : Native Hawaiian and Other Pacific Islander alone,1758,16413,30659,491774,442944
B02013_001E : B02013.  Some Other Race Alone Or In Combination With One Or More Other Races : Total:,61085,1032874,1799163,18551824,15658702
B02007_001E : B02007.  Native Hawaiian and other Pacific Islander Alone By Selected Groups : Total:,1758,16413,30659,491774,442944
B02011_001E : B02011.  Asian Alone Or In Combination With One Or More Other Races : Total:,42474,611897,1291048,16213636,14268217
B02009_001E : B02009.  Black Or African American Alone Or In Combination With One Or More Other Races : Total:,76117,1448185,2941428,41201151,36735421
B02001_003E : B02001.  Race : Black or African American alone,70835,1367583,2782177,38253595,34033000
B02001_002E : B02001.  Race : White alone,255703,4499093,8527006,227657208,214375406
B02008_001E : B02008.  White Alone Or In Combination With One Or More Other Races : Total:,265125,4655402,8839478,234234379,220474374
