Variable,3.000000 km,total,Beyond
B03002_008E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Some other race alone,24440.245983293597,688071,663630.7540167064
B03002_006E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Asian alone,630530.9991479242,14024878,13394347.000852076
B03002_016E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Asian alone,6689.135238498829,173029,166339.86476150117
B03002_004E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Black or African American alone,1493567.2804366793,37126836,35633268.71956332
"B03002_021E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",30947.552608016962,1121553,1090605.4473919831
B03002_018E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Some other race alone,1041300.4424810223,16311732,15270431.557518978
B03002_010E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,7796.294229876047,248817,241020.70577012395
B03002_002E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:,6103198.5836371,256283191,250179992.4163629
B03002_012E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:,2616368.3699980527,51444403,48828034.63000195
B03002_014E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Black or African American alone,36577.85697066647,1126759,1090181.1430293336
B03003_002E : B03003.  Hispanic or Latino Origin : Not Hispanic or Latino,6103198.5836371,256283191,250179992.4163629
B03002_009E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:,140312.78966313135,5329267,5188954.210336869
B03002_015E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!American Indian and Alaska Native alone,18970.41322836608,439048,420077.58677163394
B03002_005E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!American Indian and Alaska Native alone,37179.19988590919,2048832,2011652.8001140908
B03002_017E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,1667.5422339249005,32970,31302.4577660751
B03002_020E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races including Some other race,44624.75799702309,1188607,1143982.2420029768
B03002_019E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:,75572.3106050401,2310160,2234587.6893949597
B03002_003E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!White alone,3759560.4813499227,196606503,192846942.51865008
"B03002_011E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",132516.49543325533,5080450,4947933.504566745
B03002_001E : B03002.  Hispanic or Latino by Race : Total:,8719566.953635149,307727594,299008027.04636484
B03002_013E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!White alone,1435590.669240531,31050705,29615114.33075947
B03002_007E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,17607.58717024911,458804,441196.4128297509
B03003_003E : B03003.  Hispanic or Latino Origin : Hispanic or Latino,2616368.3699980527,51444403,48828034.63000195
B03003_001E : B03003.  Hispanic or Latino Origin : Total:,8719566.953635149,307727594,299008027.04636484
