Variable,3.000000 km,total,Beyond
B02001_001E : B02001.  Race : Total:,8719566.953635149,307727594,299008027.04636484
"B02001_010E : B02001.  Race : Two or more races:!!Two races excluding Some other race, and three or more races",163464.04804127227,6202003,6038538.951958728
B02006_001E : B02006.  Asian Alone By Selected Groups : Total:,637220.134386423,14197907,13560686.865613576
B02012_001E : B02012.  Native Hawaiian And Other Pacific Islander Alone Or In Combination With One Or More Other Races : Total:,29475.35331213731,973746,944270.6466878627
B02001_007E : B02001.  Race : Some other race alone,1065740.688464317,16999803,15934062.311535683
B01003_001E : B01003.  Total Population : Total,8719566.953635149,307727594,299008027.04636484
B02001_009E : B02001.  Race : Two or more races:!!Two races including Some other race,52421.05222689922,1437424,1385002.9477731008
B02001_008E : B02001.  Race : Two or more races:,215885.10026817184,7639427,7423541.899731828
B02010_001E : B02010.  American Indian And Alaska Native Alone Or In Combination With One Or More Other Races : Total:,115537.50633674981,4800428,4684890.4936632505
B02001_005E : B02001.  Race : Asian alone,637220.134386423,14197907,13560686.865613576
B02001_004E : B02001.  Race : American Indian and Alaska Native alone,56149.61311427515,2487880,2431730.386885725
B02005_001E : B02005.  AMERICAN INDIAN AND ALASKA NATIVE ALONE FOR SELECTED TRIBAL GROUPINGS : Total:,56149.61311427515,2487880,2431730.386885725
B02001_006E : B02001.  Race : Native Hawaiian and Other Pacific Islander alone,19275.129404174015,491774,472498.870595826
B02013_001E : B02013.  Some Other Race Alone Or In Combination With One Or More Other Races : Total:,1121516.5754890323,18551824,17430307.424510967
B02007_001E : B02007.  Native Hawaiian and other Pacific Islander Alone By Selected Groups : Total:,19275.129404174015,491774,472498.870595826
B02011_001E : B02011.  Asian Alone Or In Combination With One Or More Other Races : Total:,692536.9647106971,16213636,15521099.035289302
B02009_001E : B02009.  Black Or African American Alone Or In Combination With One Or More Other Races : Total:,1621190.6183956668,41201151,39579960.381604336
B02001_003E : B02001.  Race : Black or African American alone,1530145.1374073466,38253595,36723449.86259265
B02001_002E : B02001.  Race : White alone,5195151.150590462,227657208,222462056.84940955
B02008_001E : B02008.  White Alone Or In Combination With One Or More Other Races : Total:,5372066.755650739,234234379,228862312.24434927
