C17002_001E : C17002.  Ratio of Income to Poverty Level in the Past 12 Months : Total:
3.000000 km,total
7819092,299856106

C17002_003E : C17002.  Ratio of Income to Poverty Level in the Past 12 Months : .50 to .99
3.000000 km,total
892998,23893357

C17002_002E : C17002.  Ratio of Income to Poverty Level in the Past 12 Months : Under .50
3.000000 km,total
690551,18704526

C17002_005E : C17002.  Ratio of Income to Poverty Level in the Past 12 Months : 1.25 to 1.49
3.000000 km,total
466412,13914450

C17002_004E : C17002.  Ratio of Income to Poverty Level in the Past 12 Months : 1.00 to 1.24
3.000000 km,total
475283,13558766

C17002_007E : C17002.  Ratio of Income to Poverty Level in the Past 12 Months : 1.85 to 1.99
3.000000 km,total
243303,8095564

C17002_006E : C17002.  Ratio of Income to Poverty Level in the Past 12 Months : 1.50 to 1.84
3.000000 km,total
599315,19236804

C17002_008E : C17002.  Ratio of Income to Poverty Level in the Past 12 Months : 2.00 and over
3.000000 km,total
4451230,202452639

