Variable,3.000000 km,total,Beyond
B02001_001E : B02001.  Race : Total:,335281,307727594,307392313
"B02001_010E : B02001.  Race : Two or more races:!!Two races excluding Some other race, and three or more races",8956,6202003,6193047
B02006_001E : B02006.  Asian Alone By Selected Groups : Total:,9193,14197907,14188714
B02012_001E : B02012.  Native Hawaiian And Other Pacific Islander Alone Or In Combination With One Or More Other Races : Total:,646,973746,973100
B02001_007E : B02001.  Race : Some other race alone,11046,16999803,16988757
B01003_001E : B01003.  Total Population : Total,335281,307727594,307392313
B02001_009E : B02001.  Race : Two or more races:!!Two races including Some other race,1204,1437424,1436220
B02001_008E : B02001.  Race : Two or more races:,10160,7639427,7629267
B02010_001E : B02010.  American Indian And Alaska Native Alone Or In Combination With One Or More Other Races : Total:,5436,4800428,4794992
B02001_005E : B02001.  Race : Asian alone,9193,14197907,14188714
B02001_004E : B02001.  Race : American Indian and Alaska Native alone,1628,2487880,2486252
B02005_001E : B02005.  AMERICAN INDIAN AND ALASKA NATIVE ALONE FOR SELECTED TRIBAL GROUPINGS : Total:,1628,2487880,2486252
B02001_006E : B02001.  Race : Native Hawaiian and Other Pacific Islander alone,284,491774,491490
B02013_001E : B02013.  Some Other Race Alone Or In Combination With One Or More Other Races : Total:,12330,18551824,18539494
B02007_001E : B02007.  Native Hawaiian and other Pacific Islander Alone By Selected Groups : Total:,284,491774,491490
B02011_001E : B02011.  Asian Alone Or In Combination With One Or More Other Races : Total:,10655,16213636,16202981
B02009_001E : B02009.  Black Or African American Alone Or In Combination With One Or More Other Races : Total:,58435,41201151,41142716
B02001_003E : B02001.  Race : Black or African American alone,53529,38253595,38200066
B02001_002E : B02001.  Race : White alone,249441,227657208,227407767
B02008_001E : B02008.  White Alone Or In Combination With One Or More Other Races : Total:,258658,234234379,233975721
