Variable,3.000000 km,total,Beyond
B03002_008E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Some other race alone,148.0,688071,687923.0
B03002_006E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Asian alone,2908.0,14024878,14021970.0
B03002_016E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Asian alone,66.0,173029,172963.0
B03002_004E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Black or African American alone,7299.0,37126836,37119537.0
"B03002_021E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",317.0,1121553,1121236.0
B03002_018E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Some other race alone,10851.0,16311732,16300881.0
B03002_010E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,11.0,248817,248806.0
B03002_002E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:,43363.0,256283191,256239828.0
B03002_012E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:,56294.0,51444403,51388109.0
B03002_014E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Black or African American alone,391.0,1126759,1126368.0
B03003_002E : B03003.  Hispanic or Latino Origin : Not Hispanic or Latino,43363.0,256283191,256239828.0
B03002_009E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:,1194.0,5329267,5328073.0
B03002_015E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!American Indian and Alaska Native alone,403.0,439048,438645.0
B03002_005E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!American Indian and Alaska Native alone,2029.0,2048832,2046803.0
B03002_017E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,11.0,32970,32959.0
B03002_020E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races including Some other race,792.0,1188607,1187815.0
B03002_019E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:,1109.0,2310160,2309051.0
B03002_003E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!White alone,29731.0,196606503,196576772.0
"B03002_011E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",1183.0,5080450,5079267.0
B03002_001E : B03002.  Hispanic or Latino by Race : Total:,99657.0,307727594,307627937.0
B03002_013E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!White alone,43463.0,31050705,31007242.0
B03002_007E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,54.0,458804,458750.0
B03003_003E : B03003.  Hispanic or Latino Origin : Hispanic or Latino,56294.0,51444403,51388109.0
B03003_001E : B03003.  Hispanic or Latino Origin : Total:,99657.0,307727594,307627937.0
