Variable,3.000000 km,total,Beyond
B03002_008E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Some other race alone,419.0,688071,687652.0
B03002_006E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Asian alone,12474.0,14024878,14012404.0
B03002_016E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Asian alone,108.0,173029,172921.0
B03002_004E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Black or African American alone,23848.0,37126836,37102988.0
"B03002_021E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",50.0,1121553,1121503.0
B03002_018E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Some other race alone,11519.0,16311732,16300213.0
B03002_010E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,31.0,248817,248786.0
B03002_002E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:,66495.0,256283191,256216696.0
B03002_012E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:,23667.0,51444403,51420736.0
B03002_014E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Black or African American alone,318.0,1126759,1126441.0
B03003_002E : B03003.  Hispanic or Latino Origin : Not Hispanic or Latino,66495.0,256283191,256216696.0
B03002_009E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:,1155.0,5329267,5328112.0
B03002_015E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!American Indian and Alaska Native alone,164.0,439048,438884.0
B03002_005E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!American Indian and Alaska Native alone,38.0,2048832,2048794.0
B03002_017E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,0.0,32970,32970.0
B03002_020E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races including Some other race,259.0,1188607,1188348.0
B03002_019E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:,309.0,2310160,2309851.0
B03002_003E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!White alone,28419.0,196606503,196578084.0
"B03002_011E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",1124.0,5080450,5079326.0
B03002_001E : B03002.  Hispanic or Latino by Race : Total:,90162.0,307727594,307637432.0
B03002_013E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!White alone,11249.0,31050705,31039456.0
B03002_007E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,142.0,458804,458662.0
B03003_003E : B03003.  Hispanic or Latino Origin : Hispanic or Latino,23667.0,51444403,51420736.0
B03003_001E : B03003.  Hispanic or Latino Origin : Total:,90162.0,307727594,307637432.0
