Variable,3.000000 km,total,Beyond
B03002_008E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Some other race alone,28.0,688071,688043.0
B03002_006E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Asian alone,7250.0,14024878,14017628.0
B03002_016E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Asian alone,55.0,173029,172974.0
B03002_004E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Black or African American alone,1166.0,37126836,37125670.0
"B03002_021E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",147.0,1121553,1121406.0
B03002_018E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Some other race alone,608.0,16311732,16311124.0
B03002_010E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,30.0,248817,248787.0
B03002_002E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:,22654.0,256283191,256260537.0
B03002_012E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:,2101.0,51444403,51442302.0
B03002_014E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Black or African American alone,46.0,1126759,1126713.0
B03003_002E : B03003.  Hispanic or Latino Origin : Not Hispanic or Latino,22654.0,256283191,256260537.0
B03002_009E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:,3103.0,5329267,5326164.0
B03002_015E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!American Indian and Alaska Native alone,0.0,439048,439048.0
B03002_005E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!American Indian and Alaska Native alone,23.0,2048832,2048809.0
B03002_017E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,26.0,32970,32944.0
B03002_020E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races including Some other race,142.0,1188607,1188465.0
B03002_019E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:,289.0,2310160,2309871.0
B03002_003E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!White alone,9641.0,196606503,196596862.0
"B03002_011E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",3073.0,5080450,5077377.0
B03002_001E : B03002.  Hispanic or Latino by Race : Total:,24755.0,307727594,307702839.0
B03002_013E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!White alone,1077.0,31050705,31049628.0
B03002_007E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,1443.0,458804,457361.0
B03003_003E : B03003.  Hispanic or Latino Origin : Hispanic or Latino,2101.0,51444403,51442302.0
B03003_001E : B03003.  Hispanic or Latino Origin : Total:,24755.0,307727594,307702839.0
