Variable,3.000000 km,total,Beyond
B03002_008E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Some other race alone,263.0,688071,687808.0
B03002_006E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Asian alone,1166.0,14024878,14023712.0
B03002_016E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Asian alone,0.0,173029,173029.0
B03002_004E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Black or African American alone,16346.0,37126836,37110490.0
"B03002_021E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",172.0,1121553,1121381.0
B03002_018E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Some other race alone,8422.0,16311732,16303310.0
B03002_010E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,162.0,248817,248655.0
B03002_002E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:,90828.0,256283191,256192363.0
B03002_012E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:,16610.0,51444403,51427793.0
B03002_014E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Black or African American alone,139.0,1126759,1126620.0
B03003_002E : B03003.  Hispanic or Latino Origin : Not Hispanic or Latino,90828.0,256283191,256192363.0
B03002_009E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:,2291.0,5329267,5326976.0
B03002_015E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!American Indian and Alaska Native alone,6.0,439048,439042.0
B03002_005E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!American Indian and Alaska Native alone,204.0,2048832,2048628.0
B03002_017E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,0.0,32970,32970.0
B03002_020E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races including Some other race,447.0,1188607,1188160.0
B03002_019E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:,619.0,2310160,2309541.0
B03002_003E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!White alone,70558.0,196606503,196535945.0
"B03002_011E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",2129.0,5080450,5078321.0
B03002_001E : B03002.  Hispanic or Latino by Race : Total:,107438.0,307727594,307620156.0
B03002_013E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!White alone,7424.0,31050705,31043281.0
B03002_007E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,0.0,458804,458804.0
B03003_003E : B03003.  Hispanic or Latino Origin : Hispanic or Latino,16610.0,51444403,51427793.0
B03003_001E : B03003.  Hispanic or Latino Origin : Total:,107438.0,307727594,307620156.0
