Variable,3.000000 km,total,Beyond
B03002_008E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Some other race alone,44.0,688071,688027.0
B03002_006E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Asian alone,178.0,14024878,14024700.0
B03002_016E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Asian alone,0.0,173029,173029.0
B03002_004E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Black or African American alone,17764.0,37126836,37109072.0
"B03002_021E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",18.0,1121553,1121535.0
B03002_018E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Some other race alone,114.0,16311732,16311618.0
B03002_010E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,8.0,248817,248809.0
B03002_002E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:,31180.0,256283191,256252011.0
B03002_012E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:,1263.0,51444403,51443140.0
B03002_014E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Black or African American alone,253.0,1126759,1126506.0
B03003_002E : B03003.  Hispanic or Latino Origin : Not Hispanic or Latino,31180.0,256283191,256252011.0
B03002_009E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:,459.0,5329267,5328808.0
B03002_015E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!American Indian and Alaska Native alone,0.0,439048,439048.0
B03002_005E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!American Indian and Alaska Native alone,40.0,2048832,2048792.0
B03002_017E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,0.0,32970,32970.0
B03002_020E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races including Some other race,33.0,1188607,1188574.0
B03002_019E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:,51.0,2310160,2310109.0
B03002_003E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!White alone,12695.0,196606503,196593808.0
"B03002_011E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",451.0,5080450,5079999.0
B03002_001E : B03002.  Hispanic or Latino by Race : Total:,32443.0,307727594,307695151.0
B03002_013E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!White alone,845.0,31050705,31049860.0
B03002_007E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,0.0,458804,458804.0
B03003_003E : B03003.  Hispanic or Latino Origin : Hispanic or Latino,1263.0,51444403,51443140.0
B03003_001E : B03003.  Hispanic or Latino Origin : Total:,32443.0,307727594,307695151.0
