Variable,3.000000 km,total,Beyond
B03002_008E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Some other race alone,659.0,688071,687412.0
B03002_006E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Asian alone,11081.0,14024878,14013797.0
B03002_016E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Asian alone,6.0,173029,173023.0
B03002_004E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Black or African American alone,164757.0,37126836,36962079.0
"B03002_021E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",256.0,1121553,1121297.0
B03002_018E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Some other race alone,930.0,16311732,16310802.0
B03002_010E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,187.0,248817,248630.0
B03002_002E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:,291403.0,256283191,255991788.0
B03002_012E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:,4301.0,51444403,51440102.0
B03002_014E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Black or African American alone,573.0,1126759,1126186.0
B03003_002E : B03003.  Hispanic or Latino Origin : Not Hispanic or Latino,291403.0,256283191,255991788.0
B03002_009E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:,6647.0,5329267,5322620.0
B03002_015E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!American Indian and Alaska Native alone,22.0,439048,439026.0
B03002_005E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!American Indian and Alaska Native alone,1176.0,2048832,2047656.0
B03002_017E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,37.0,32970,32933.0
B03002_020E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races including Some other race,214.0,1188607,1188393.0
B03002_019E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:,470.0,2310160,2309690.0
B03002_003E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!White alone,107021.0,196606503,196499482.0
"B03002_011E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",6460.0,5080450,5073990.0
B03002_001E : B03002.  Hispanic or Latino by Race : Total:,295704.0,307727594,307431890.0
B03002_013E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!White alone,2263.0,31050705,31048442.0
B03002_007E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,62.0,458804,458742.0
B03003_003E : B03003.  Hispanic or Latino Origin : Hispanic or Latino,4301.0,51444403,51440102.0
B03003_001E : B03003.  Hispanic or Latino Origin : Total:,295704.0,307727594,307431890.0
