Variable,3.000000 km,total,Beyond
B03002_008E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Some other race alone,528.0,688071,687543.0
B03002_006E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Asian alone,16021.0,14024878,14008857.0
B03002_016E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Asian alone,34.0,173029,172995.0
B03002_004E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Black or African American alone,35223.0,37126836,37091613.0
"B03002_021E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",547.0,1121553,1121006.0
B03002_018E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Some other race alone,4945.0,16311732,16306787.0
B03002_010E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,146.0,248817,248671.0
B03002_002E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:,205088.0,256283191,256078103.0
B03002_012E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:,16370.0,51444403,51428033.0
B03002_014E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Black or African American alone,285.0,1126759,1126474.0
B03003_002E : B03003.  Hispanic or Latino Origin : Not Hispanic or Latino,205088.0,256283191,256078103.0
B03002_009E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:,5078.0,5329267,5324189.0
B03002_015E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!American Indian and Alaska Native alone,210.0,439048,438838.0
B03002_005E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!American Indian and Alaska Native alone,2304.0,2048832,2046528.0
B03002_017E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,0.0,32970,32970.0
B03002_020E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races including Some other race,343.0,1188607,1188264.0
B03002_019E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:,890.0,2310160,2309270.0
B03002_003E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!White alone,145934.0,196606503,196460569.0
"B03002_011E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",4932.0,5080450,5075518.0
B03002_001E : B03002.  Hispanic or Latino by Race : Total:,221458.0,307727594,307506136.0
B03002_013E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!White alone,10006.0,31050705,31040699.0
B03002_007E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,0.0,458804,458804.0
B03003_003E : B03003.  Hispanic or Latino Origin : Hispanic or Latino,16370.0,51444403,51428033.0
B03003_001E : B03003.  Hispanic or Latino Origin : Total:,221458.0,307727594,307506136.0
