Variable,3.000000 km,total,Beyond
B03002_008E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Some other race alone,133.0,688071,687938.0
B03002_006E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Asian alone,2724.0,14024878,14022154.0
B03002_016E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Asian alone,35.0,173029,172994.0
B03002_004E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Black or African American alone,34672.0,37126836,37092164.0
"B03002_021E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",775.0,1121553,1120778.0
B03002_018E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Some other race alone,4122.0,16311732,16307610.0
B03002_010E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,58.0,248817,248759.0
B03002_002E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:,147310.0,256283191,256135881.0
B03002_012E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:,10728.0,51444403,51433675.0
B03002_014E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Black or African American alone,208.0,1126759,1126551.0
B03003_002E : B03003.  Hispanic or Latino Origin : Not Hispanic or Latino,147310.0,256283191,256135881.0
B03002_009E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:,3950.0,5329267,5325317.0
B03002_015E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!American Indian and Alaska Native alone,44.0,439048,439004.0
B03002_005E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!American Indian and Alaska Native alone,472.0,2048832,2048360.0
B03002_017E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,0.0,32970,32970.0
B03002_020E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races including Some other race,414.0,1188607,1188193.0
B03002_019E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:,1189.0,2310160,2308971.0
B03002_003E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!White alone,105100.0,196606503,196501403.0
"B03002_011E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",3892.0,5080450,5076558.0
B03002_001E : B03002.  Hispanic or Latino by Race : Total:,158038.0,307727594,307569556.0
B03002_013E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!White alone,5130.0,31050705,31045575.0
B03002_007E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,259.0,458804,458545.0
B03003_003E : B03003.  Hispanic or Latino Origin : Hispanic or Latino,10728.0,51444403,51433675.0
B03003_001E : B03003.  Hispanic or Latino Origin : Total:,158038.0,307727594,307569556.0
