Variable,3.000000 km,total,Beyond
B03002_008E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Some other race alone,90.0,688071,687981.0
B03002_006E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Asian alone,3200.0,14024878,14021678.0
B03002_016E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Asian alone,0.0,173029,173029.0
B03002_004E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Black or African American alone,3481.0,37126836,37123355.0
"B03002_021E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",390.0,1121553,1121163.0
B03002_018E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Some other race alone,2045.0,16311732,16309687.0
B03002_010E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,10.0,248817,248807.0
B03002_002E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:,74632.0,256283191,256208559.0
B03002_012E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:,8822.0,51444403,51435581.0
B03002_014E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Black or African American alone,71.0,1126759,1126688.0
B03003_002E : B03003.  Hispanic or Latino Origin : Not Hispanic or Latino,74632.0,256283191,256208559.0
B03002_009E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:,1215.0,5329267,5328052.0
B03002_015E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!American Indian and Alaska Native alone,125.0,439048,438923.0
B03002_005E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!American Indian and Alaska Native alone,398.0,2048832,2048434.0
B03002_017E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,0.0,32970,32970.0
B03002_020E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races including Some other race,65.0,1188607,1188542.0
B03002_019E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:,455.0,2310160,2309705.0
B03002_003E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!White alone,66236.0,196606503,196540267.0
"B03002_011E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",1205.0,5080450,5079245.0
B03002_001E : B03002.  Hispanic or Latino by Race : Total:,83454.0,307727594,307644140.0
B03002_013E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!White alone,6126.0,31050705,31044579.0
B03002_007E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,12.0,458804,458792.0
B03003_003E : B03003.  Hispanic or Latino Origin : Hispanic or Latino,8822.0,51444403,51435581.0
B03003_001E : B03003.  Hispanic or Latino Origin : Total:,83454.0,307727594,307644140.0
