Variable,3.000000 km,total,Beyond
B03002_008E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Some other race alone,2302.0,688071,685769.0
B03002_006E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Asian alone,32645.0,14024878,13992233.0
B03002_016E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Asian alone,286.0,173029,172743.0
B03002_004E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Black or African American alone,38742.0,37126836,37088094.0
"B03002_021E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",1269.0,1121553,1120284.0
B03002_018E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Some other race alone,30455.0,16311732,16281277.0
B03002_010E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,521.0,248817,248296.0
B03002_002E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:,210448.0,256283191,256072743.0
B03002_012E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:,67726.0,51444403,51376677.0
B03002_014E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Black or African American alone,2106.0,1126759,1124653.0
B03003_002E : B03003.  Hispanic or Latino Origin : Not Hispanic or Latino,210448.0,256283191,256072743.0
B03002_009E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:,3880.0,5329267,5325387.0
B03002_015E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!American Indian and Alaska Native alone,334.0,439048,438714.0
B03002_005E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!American Indian and Alaska Native alone,348.0,2048832,2048484.0
B03002_017E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,10.0,32970,32960.0
B03002_020E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races including Some other race,1171.0,1188607,1187436.0
B03002_019E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:,2440.0,2310160,2307720.0
B03002_003E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!White alone,132356.0,196606503,196474147.0
"B03002_011E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",3359.0,5080450,5077091.0
B03002_001E : B03002.  Hispanic or Latino by Race : Total:,278174.0,307727594,307449420.0
B03002_013E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!White alone,32095.0,31050705,31018610.0
B03002_007E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,175.0,458804,458629.0
B03003_003E : B03003.  Hispanic or Latino Origin : Hispanic or Latino,67726.0,51444403,51376677.0
B03003_001E : B03003.  Hispanic or Latino Origin : Total:,278174.0,307727594,307449420.0
