Variable,3.000000 km,total,Beyond
B03002_008E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Some other race alone,324.0,688071,687747.0
B03002_006E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Asian alone,1691.0,14024878,14023187.0
B03002_016E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Asian alone,161.0,173029,172868.0
B03002_004E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Black or African American alone,2047.0,37126836,37124789.0
"B03002_021E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",495.0,1121553,1121058.0
B03002_018E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Some other race alone,14398.0,16311732,16297334.0
B03002_010E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,122.0,248817,248695.0
B03002_002E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:,44015.0,256283191,256239176.0
B03002_012E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:,37631.0,51444403,51406772.0
B03002_014E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Black or African American alone,315.0,1126759,1126444.0
B03003_002E : B03003.  Hispanic or Latino Origin : Not Hispanic or Latino,44015.0,256283191,256239176.0
B03002_009E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:,686.0,5329267,5328581.0
B03002_015E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!American Indian and Alaska Native alone,784.0,439048,438264.0
B03002_005E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!American Indian and Alaska Native alone,5468.0,2048832,2043364.0
B03002_017E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,0.0,32970,32970.0
B03002_020E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races including Some other race,1342.0,1188607,1187265.0
B03002_019E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:,1837.0,2310160,2308323.0
B03002_003E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!White alone,33799.0,196606503,196572704.0
"B03002_011E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",564.0,5080450,5079886.0
B03002_001E : B03002.  Hispanic or Latino by Race : Total:,81646.0,307727594,307645948.0
B03002_013E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!White alone,20136.0,31050705,31030569.0
B03002_007E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,0.0,458804,458804.0
B03003_003E : B03003.  Hispanic or Latino Origin : Hispanic or Latino,37631.0,51444403,51406772.0
B03003_001E : B03003.  Hispanic or Latino Origin : Total:,81646.0,307727594,307645948.0
