Variable,3.000000 km,total,Beyond
B03002_008E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Some other race alone,3225.0,688071,684846.0
B03002_006E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Asian alone,51620.0,14024878,13973258.0
B03002_016E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Asian alone,231.0,173029,172798.0
B03002_004E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Black or African American alone,112595.0,37126836,37014241.0
"B03002_021E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",2695.0,1121553,1118858.0
B03002_018E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Some other race alone,55724.0,16311732,16256008.0
B03002_010E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,1056.0,248817,247761.0
B03002_002E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:,495001.0,256283191,255788190.0
B03002_012E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:,143303.0,51444403,51301100.0
B03002_014E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Black or African American alone,7115.0,1126759,1119644.0
B03003_002E : B03003.  Hispanic or Latino Origin : Not Hispanic or Latino,495001.0,256283191,255788190.0
B03002_009E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:,11358.0,5329267,5317909.0
B03002_015E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!American Indian and Alaska Native alone,719.0,439048,438329.0
B03002_005E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!American Indian and Alaska Native alone,1798.0,2048832,2047034.0
B03002_017E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,89.0,32970,32881.0
B03002_020E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races including Some other race,3687.0,1188607,1184920.0
B03002_019E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:,6382.0,2310160,2303778.0
B03002_003E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!White alone,314206.0,196606503,196292297.0
"B03002_011E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",10302.0,5080450,5070148.0
B03002_001E : B03002.  Hispanic or Latino by Race : Total:,638304.0,307727594,307089290.0
B03002_013E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!White alone,73043.0,31050705,30977662.0
B03002_007E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,199.0,458804,458605.0
B03003_003E : B03003.  Hispanic or Latino Origin : Hispanic or Latino,143303.0,51444403,51301100.0
B03003_001E : B03003.  Hispanic or Latino Origin : Total:,638304.0,307727594,307089290.0
