Variable,3.000000 km,total,Beyond
B03002_008E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Some other race alone,49.0,688071,688022.0
B03002_006E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Asian alone,1461.0,14024878,14023417.0
B03002_016E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Asian alone,0.0,173029,173029.0
B03002_004E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Black or African American alone,112.0,37126836,37126724.0
"B03002_021E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",35.0,1121553,1121518.0
B03002_018E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Some other race alone,148.0,16311732,16311584.0
B03002_010E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,0.0,248817,248817.0
B03002_002E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:,12530.0,256283191,256270661.0
B03002_012E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:,1302.0,51444403,51443101.0
B03002_014E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Black or African American alone,0.0,1126759,1126759.0
B03003_002E : B03003.  Hispanic or Latino Origin : Not Hispanic or Latino,12530.0,256283191,256270661.0
B03002_009E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:,551.0,5329267,5328716.0
B03002_015E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!American Indian and Alaska Native alone,0.0,439048,439048.0
B03002_005E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!American Indian and Alaska Native alone,24.0,2048832,2048808.0
B03002_017E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,19.0,32970,32951.0
B03002_020E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races including Some other race,15.0,1188607,1188592.0
B03002_019E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:,50.0,2310160,2310110.0
B03002_003E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!White alone,10318.0,196606503,196596185.0
"B03002_011E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",551.0,5080450,5079899.0
B03002_001E : B03002.  Hispanic or Latino by Race : Total:,13832.0,307727594,307713762.0
B03002_013E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!White alone,1085.0,31050705,31049620.0
B03002_007E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,15.0,458804,458789.0
B03003_003E : B03003.  Hispanic or Latino Origin : Hispanic or Latino,1302.0,51444403,51443101.0
B03003_001E : B03003.  Hispanic or Latino Origin : Total:,13832.0,307727594,307713762.0
