Variable,3.000000 km,total,Beyond
B03002_008E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Some other race alone,58.0,688071,688013.0
B03002_006E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Asian alone,1792.0,14024878,14023086.0
B03002_016E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Asian alone,0.0,173029,173029.0
B03002_004E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Black or African American alone,31893.0,37126836,37094943.0
"B03002_021E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",28.0,1121553,1121525.0
B03002_018E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Some other race alone,946.0,16311732,16310786.0
B03002_010E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,13.0,248817,248804.0
B03002_002E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:,58387.0,256283191,256224804.0
B03002_012E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:,3671.0,51444403,51440732.0
B03002_014E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Black or African American alone,496.0,1126759,1126263.0
B03003_002E : B03003.  Hispanic or Latino Origin : Not Hispanic or Latino,58387.0,256283191,256224804.0
B03002_009E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:,897.0,5329267,5328370.0
B03002_015E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!American Indian and Alaska Native alone,41.0,439048,439007.0
B03002_005E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!American Indian and Alaska Native alone,210.0,2048832,2048622.0
B03002_017E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,2.0,32970,32968.0
B03002_020E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races including Some other race,73.0,1188607,1188534.0
B03002_019E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:,101.0,2310160,2310059.0
B03002_003E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!White alone,23481.0,196606503,196583022.0
"B03002_011E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",884.0,5080450,5079566.0
B03002_001E : B03002.  Hispanic or Latino by Race : Total:,62058.0,307727594,307665536.0
B03002_013E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!White alone,2085.0,31050705,31048620.0
B03002_007E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,56.0,458804,458748.0
B03003_003E : B03003.  Hispanic or Latino Origin : Hispanic or Latino,3671.0,51444403,51440732.0
B03003_001E : B03003.  Hispanic or Latino Origin : Total:,62058.0,307727594,307665536.0
