Variable,3.000000 km,total,Beyond
B03002_008E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Some other race alone,252.0,688071,687819.0
B03002_006E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Asian alone,21288.0,14024878,14003590.0
B03002_016E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Asian alone,135.0,173029,172894.0
B03002_004E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Black or African American alone,12870.0,37126836,37113966.0
"B03002_021E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",813.0,1121553,1120740.0
B03002_018E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Some other race alone,7128.0,16311732,16304604.0
B03002_010E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,299.0,248817,248518.0
B03002_002E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:,135887.0,256283191,256147304.0
B03002_012E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:,18080.0,51444403,51426323.0
B03002_014E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Black or African American alone,101.0,1126759,1126658.0
B03003_002E : B03003.  Hispanic or Latino Origin : Not Hispanic or Latino,135887.0,256283191,256147304.0
B03002_009E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:,5398.0,5329267,5323869.0
B03002_015E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!American Indian and Alaska Native alone,398.0,439048,438650.0
B03002_005E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!American Indian and Alaska Native alone,1368.0,2048832,2047464.0
B03002_017E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,0.0,32970,32970.0
B03002_020E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races including Some other race,631.0,1188607,1187976.0
B03002_019E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:,1444.0,2310160,2308716.0
B03002_003E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!White alone,91661.0,196606503,196514842.0
"B03002_011E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",5099.0,5080450,5075351.0
B03002_001E : B03002.  Hispanic or Latino by Race : Total:,153967.0,307727594,307573627.0
B03002_013E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!White alone,8874.0,31050705,31041831.0
B03002_007E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,3050.0,458804,455754.0
B03003_003E : B03003.  Hispanic or Latino Origin : Hispanic or Latino,18080.0,51444403,51426323.0
B03003_001E : B03003.  Hispanic or Latino Origin : Total:,153967.0,307727594,307573627.0
