Variable,3.000000 km,total,Beyond
B03002_008E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Some other race alone,223.0,688071,687848.0
B03002_006E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Asian alone,5061.0,14024878,14019817.0
B03002_016E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Asian alone,223.0,173029,172806.0
B03002_004E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Black or African American alone,22781.0,37126836,37104055.0
"B03002_021E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",283.0,1121553,1121270.0
B03002_018E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Some other race alone,1741.0,16311732,16309991.0
B03002_010E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,161.0,248817,248656.0
B03002_002E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:,120844.0,256283191,256162347.0
B03002_012E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:,5623.0,51444403,51438780.0
B03002_014E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Black or African American alone,28.0,1126759,1126731.0
B03003_002E : B03003.  Hispanic or Latino Origin : Not Hispanic or Latino,120844.0,256283191,256162347.0
B03002_009E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:,1968.0,5329267,5327299.0
B03002_015E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!American Indian and Alaska Native alone,11.0,439048,439037.0
B03002_005E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!American Indian and Alaska Native alone,522.0,2048832,2048310.0
B03002_017E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,0.0,32970,32970.0
B03002_020E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races including Some other race,421.0,1188607,1188186.0
B03002_019E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:,704.0,2310160,2309456.0
B03002_003E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!White alone,90264.0,196606503,196516239.0
"B03002_011E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",1807.0,5080450,5078643.0
B03002_001E : B03002.  Hispanic or Latino by Race : Total:,126467.0,307727594,307601127.0
B03002_013E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!White alone,2916.0,31050705,31047789.0
B03002_007E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,25.0,458804,458779.0
B03003_003E : B03003.  Hispanic or Latino Origin : Hispanic or Latino,5623.0,51444403,51438780.0
B03003_001E : B03003.  Hispanic or Latino Origin : Total:,126467.0,307727594,307601127.0
