tract ID,within 3km,land area,population,population density,white,percent people of color,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,race population,Hispanic or Latino,Hispanic or Latino population,aggregate income,income population,mean household income,poverty under 1,poverty population,percent below poverty,housing value,housing population,mean owner-occupied housing value,school population,with a degree,percent with a degree
51001000000,0,2230165.0,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,
51001990100,0,51466529.0,4324,84.01576877274937,4239,0.0196577243293247,7,0,36,0,12,30,4324,12,4324,64264100,2061,31181.028626880154,551,4306,0.12796098467254993,164262500,1639,100221.17144600366,3213,613,0.19078742608154373
51001990200,0,225400778.0,8801,39.04600542239477,5108,0.4196114077945688,3278,0,0,0,94,302,8801,279,8801,89789300,3357,26746.88710157879,1432,8740,0.16384439359267736,135315000,2540,53273.62204724409,5570,845,0.15170556552962297
51001990300,0,137124239.0,2904,21.177875050960175,2142,0.26239669421487605,507,4,17,0,175,13,2904,216,2904,32804800,1144,28675.524475524475,559,2899,0.19282511210762332,33810000,900,37566.666666666664,1992,200,0.10040160642570281
51001990400,0,190508263.0,6035,31.678415964561076,2192,0.6367854183927092,2855,7,8,0,651,48,6035,953,6035,56802200,2048,27735.44921875,1545,5692,0.2714335910049192,84270000,1388,60713.25648414985,3805,598,0.15716162943495401
51001990500,0,63358864.0,2791,44.05066353462398,1660,0.40523109996417056,884,15,0,0,119,35,2791,204,2791,30122200,1138,26469.420035149386,442,2784,0.15876436781609196,41112500,821,50076.12667478684,1896,268,0.14135021097046413
51001990600,0,124966784.0,4671,37.37793236321101,3641,0.22050952686790837,915,0,14,0,20,17,4671,94,4671,71576600,1983,36095.108421583456,620,4604,0.13466550825369245,154660000,1514,102153.23645970938,3398,887,0.26103590347263095
51001990700,0,156559632.0,5031,32.13472039842301,2942,0.4152256012721129,1934,5,22,0,41,55,5031,72,5031,62432000,2025,30830.617283950618,814,5001,0.16276744651069786,129670000,1573,82434.83788938334,3436,716,0.20838183934807916
51001990800,0,212574035.0,3748,17.631504242745358,1844,0.5080042689434365,1618,10,10,11,173,15,3748,242,3748,37027300,1514,24456.60501981506,825,3689,0.22363784223366767,62707500,1097,57162.716499544214,2584,413,0.15982972136222912
51003010100,0,362785144.0,4587,12.643847400763466,4400,0.0407673860911271,82,0,31,0,0,22,4587,74,4587,102174000,1677,60926.65474060823,451,4432,0.10175992779783394,189337500,1319,143546.24715693708,3106,1372,0.44172569220862845
51003010200,0,128015036.0,7226,56.44649430087259,6562,0.09189039579296983,340,8,147,0,22,77,7226,98,7226,166404500,2685,61975.6052141527,119,7196,0.016536964980544747,444567500,2360,188376.0593220339,4903,2954,0.6024882724862329
51003010300,0,23838407.0,6589,276.4026975460231,5835,0.1144331461526787,296,19,269,0,65,87,6589,76,6589,132725400,2393,55464.02005850397,203,6571,0.030893319129508445,299852500,1833,163585.65193671576,4150,2563,0.6175903614457832
51003010400,0,287446085.0,6404,22.27896059186195,5545,0.13413491567770144,678,6,67,0,0,9,6404,99,6404,167117400,2507,66660.31112883925,244,6345,0.038455476753349094,389135000,1997,194859.7896845268,4560,2154,0.4723684210526316
51003010500,0,25343553.0,2614,103.14260198639077,2135,0.18324407039020657,382,0,29,0,23,9,2614,59,2614,55173300,925,59646.81081081081,216,2355,0.09171974522292993,113092500,577,196000.86655112653,1781,1067,0.5991016282987086
51003010600,0,12053783.0,7479,620.4691091585107,5987,0.19949191068324643,825,0,352,0,99,100,7479,208,7479,143321900,3257,44004.26773104083,468,7421,0.0630642770516103,319355000,1958,163102.6557711951,5126,3054,0.5957861880608661
51003010700,0,3150869.0,5735,1820.1327951114438,3724,0.35065387968613776,1267,0,272,0,53,140,5735,330,5735,99664800,2654,37552.675207234366,501,5454,0.09185918591859187,92242500,978,94317.48466257668,3892,1913,0.49152106885919833
51003010800,0,13681503.0,5370,392.5007362129731,4366,0.18696461824953445,527,0,271,0,23,31,5370,168,5370,112022800,2595,43168.70905587669,448,5269,0.08502562156006832,156835000,860,182366.27906976745,3766,2348,0.623473181093999
51003010901,0,1502470.0,1956,1301.8562766644259,1184,0.3946830265848671,92,8,544,0,49,14,1956,97,1956,33689800,998,33757.314629258515,321,1956,0.16411042944785276,6025000,152,39638.15789473684,1374,1158,0.8427947598253275
