State,3 km - Not Hispanic or Latino:  White alone,3 km - Total population,3 km - People of Color,3 km - Percent People of Color,Total - Not Hispanic or Latino:  White alone,Total - Total population,Total - People of Color,Total - Percent People of Color,Beyond - Not Hispanic or Latino:  White alone,Beyond - Total population,Beyond - People of Color,Beyond - Percent People of Color
Montana,0.0,0.0,0.0,0,807588.0,902195.0,94607.0,0.10486313934349005,807588.0,902195.0,94607.0,0.10486313934349005
West Virginia,44727.0,50354.0,5627.0,0.11174881836596894,1709317.0,1808344.0,99027.0,0.05476115163928987,1664590.0,1757990.0,93400.0,0.05312885738826728
Pennsylvania,493989.0,680498.0,186509.0,0.27407721991835393,10327998.0,12281054.0,1953056.0,0.15902999856526973,9834009.0,11600556.0,1766547.0,0.15228123548560948
Texas,234160.0,733390.0,499230.0,0.6807155810687356,10927538.0,20851820.0,9924282.0,0.475943203039351,10693378.0,20118430.0,9425052.0,0.4684785045353937
South Carolina,8989.0,18174.0,9185.0,0.5053923186970397,2654401.0,4012012.0,1357611.0,0.33838657511492987,2645412.0,3993838.0,1348426.0,0.3376266137985567
Vermont,56036.0,59823.0,3787.0,0.06330341173127392,585217.0,608827.0,23610.0,0.03877948908310571,529181.0,549004.0,19823.0,0.03610720504768636
Utah,55819.0,83051.0,27232.0,0.32789490794812826,1905227.0,2233169.0,327942.0,0.14685050705969857,1849408.0,2150118.0,300710.0,0.1398574403823418
Washington,133971.0,178798.0,44827.0,0.2507130952247788,4649156.0,5894121.0,1244965.0,0.21122148663049164,4515185.0,5715323.0,1200138.0,0.20998603228548937
Alaska,0.0,0.0,0.0,0,423660.0,626932.0,203272.0,0.32423293116318835,423660.0,626932.0,203272.0,0.32423293116318835
Massachusetts,137488.0,211123.0,73635.0,0.3487777267280211,5197124.0,6349097.0,1151973.0,0.18143887233097872,5059636.0,6137974.0,1078338.0,0.17568305111751858
Michigan,198236.0,449683.0,251447.0,0.5591650117971994,7805325.0,9938444.0,2133119.0,0.2146330954825524,7607089.0,9488761.0,1881672.0,0.19830534249940535
Alabama,29375.0,39554.0,10179.0,0.2573443899479193,3127039.0,4447100.0,1320061.0,0.2968363652717501,3097664.0,4407546.0,1309882.0,0.2971907723708386
California,556718.0,2404948.0,1848230.0,0.7685114189579151,15771163.0,33871648.0,18100485.0,0.5343845389512787,15214445.0,31466700.0,16252255.0,0.5164906075311361
Kentucky,43960.0,88735.0,44775.0,0.5045923254634586,3610112.0,4041769.0,431657.0,0.10679902785141852,3566152.0,3953034.0,386882.0,0.09786963633502772
Arizona,58450.0,137114.0,78664.0,0.5737123853144099,3272065.0,5130632.0,1858567.0,0.3622491342197219,3213615.0,4993518.0,1779903.0,0.3564426923063059
Arkansas,5053.0,9572.0,4519.0,0.4721061429168408,2100065.0,2673400.0,573335.0,0.21445911573277474,2095012.0,2663828.0,568816.0,0.21353330620445465
South Dakota,9135.0,10633.0,1498.0,0.14088215931533904,664810.0,754844.0,90034.0,0.11927497602153557,655675.0,744211.0,88536.0,0.11896626091256378
